Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,country_code,latitude,longitude
Russian Federation,Praskoveya,51,1,1,0,36,0,0,0,51,1,RF,61.524,105.3188
Brazil,Presidente Dutra,41,0,1,0,5,0,1,0,41,0,BR,-14.235004,-51.92528
Italy,Priolo Gargallo,66,1,1,0,39,0,2,0,66,1,IT,41.87194,12.56738
Poland,Przasnysz,34,0,1,0,34,0,0,0,20,0,PL,51.919438,19.145136
France,Punaauia,22,0,0,0,22,0,0,0,6,0,FR,46.227638,2.213749
United States of America,Punta Gorda,54,1,1,0,14,0,11,0,54,1,USA,37.0902,-95.7129
Germany,Puttlingen,62,1,1,0,35,0,3,0,62,1,DE,51.165691,10.451526
Belgium,Puurs,64,1,1,0,29,0,7,0,64,1,BE,50.503887,4.469936
Russian Federation,Pyatigorsk,54,1,1,0,41,0,1,0,54,1,RF,61.524,105.3188
Egypt,Qalyub,142,2,3,0,89,1,9,0,142,2,EG,26.820553,30.802498
China,Qinzhou,68,1,2,0,68,1,1,0,58,1,CN,35.86166,104.195397
Netherlands,Raalte,41,0,1,0,24,0,6,0,41,0,NL,52.132633,5.291266
India,Radaur,158,3,3,0,139,2,1,0,158,3,IN,20.593684,78.96288
Pakistan,Radhan,158,3,1,0,50,0,1,0,158,3,PK,30.375321,69.345116
Republic of North Macedonia,Radovis,83,1,1,0,46,0,0,0,83,1,RNM,41.6086,21.7453
France,Raismes,59,1,1,0,30,0,4,0,59,1,FR,46.227638,2.213749
India,Rajgir,154,3,3,0,100,2,2,0,154,3,IN,20.593684,78.96288
Italy,Ramacca,55,1,1,0,47,0,0,0,55,1,IT,41.87194,12.56738
United States of America,Phoenix,72,1,1,0,4,0,23,0,72,1,USA,37.0902,-95.7129
India,Phulabani,161,3,2,0,71,1,0,0,161,3,IN,20.593684,78.96288
Poland,Piaseczno,28,0,1,0,28,0,2,0,28,0,PL,51.919438,19.145136
India,Pimpri,118,2,2,0,30,0,2,0,118,2,IN,20.593684,78.96288
Brazil,Pindobacu,33,0,0,0,10,0,1,0,33,0,BR,-14.235004,-51.92528
China,Pingyin,150,3,3,0,95,1,6,0,150,3,CN,35.86166,104.195397
Brazil,Pinheiral,154,3,5,0,0,0,13,0,154,3,BR,-14.235004,-51.92528
India,Piravam,81,1,1,0,24,0,1,0,81,1,IN,20.593684,78.96288
Colombia,Plato,67,1,1,0,16,0,2,0,67,1,CO,4.570868,-74.297333
Romania,Poiana Mare,62,1,1,0,37,0,1,0,62,1,RO,45.943161,24.96676
Russian Federation,Polevskoy,31,0,1,0,31,0,0,0,17,0,RF,61.524,105.3188
France,Pontarlier,56,1,1,0,35,0,0,0,56,1,FR,46.227638,2.213749
United States of America,Pontiac,77,1,2,0,22,0,15,0,77,1,USA,37.0902,-95.7129
Indonesia,Pontianak,44,0,1,0,15,0,0,0,44,0,ID,-0.789275,113.921327
Brazil,Porecatu,30,0,1,0,9,0,2,0,30,0,BR,-14.235004,-51.92528
Finland,Pori,30,0,1,0,30,0,1,0,15,0,FI,61.92411,25.748151
South Africa,Port Elizabeth,79,1,3,0,18,0,5,0,79,1,ZA,-30.559482,22.937506
United States of America,Port Neches,34,0,1,0,19,0,7,0,34,0,USA,37.0902,-95.7129
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,1,1,0,20,0,5,0,51,1,UKI,55.3781,-3.436
United States of America,Portales,77,1,1,0,34,0,0,0,77,1,USA,37.0902,-95.7129
United States of America,Post Falls,61,1,1,0,32,0,3,0,61,1,USA,37.0902,-95.7129
Brazil,Pouso Alegre,32,0,1,0,7,0,2,0,32,0,BR,-14.235004,-51.92528
China,Dalinghe,64,1,3,0,64,1,4,0,64,1,CN,35.86166,104.195397
Russian Federation,Dalnegorsk,29,0,0,0,29,0,0,0,25,0,RF,61.524,105.3188
United Republic of Tanzania,Dar Es Salaam,51,1,1,0,23,0,0,0,51,1,URM,-6.369028,34.888822
